date,label,source_key,source_note
2019-06-29,EU-Mercosur trade negotiations concluded,europeanCommission2026MercosurText,European Commission official agreement chronology
2019-12-11,European Green Deal communication,europeanCommission2019GreenDeal,COM(2019) 640 final
2020-07-08,Mercosur Sustainability Impact Assessment published,europeanCommission2020MercosurSIA,European Commission DG Trade publication page
2023-05-31,EUDR adopted,europeanParliamentCouncil2023EUDR,Regulation (EU) 2023/1115
2024-12-06,EU-Mercosur political agreement,europeanCommission2026MercosurText,European Commission official agreement chronology
2024-12-19,EUDR amendment,europeanParliamentCouncil2023EUDR,Consolidated EUR-Lex text lists Regulation (EU) 2024/3234
2025-12-19,EUDR amendment,europeanParliamentCouncil2023EUDR,Consolidated EUR-Lex text lists Regulation (EU) 2025/2650
2026-05-01,EU-Mercosur interim trade agreement provisional application,europeanCommission2026MercosurText,European Commission official agreement chronology
