source_id,target_id,source_case,target_case,source_country,target_country,weight,relation_reasons,source_longitude,source_latitude,target_longitude,target_latitude
6949,6631,"Occupation in 2023 of Fluxys' LNG terminal in Zeebrugge, Belgium","Predator's 'Mag Mell'  LNG Floating Storage and Regasification Unit (FSRU), Cork, Ireland",Belgium,Ireland,8,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,3.21622,51.352316,-8.280944824,51.541210613
6631,2585,"Predator's 'Mag Mell'  LNG Floating Storage and Regasification Unit (FSRU), Cork, Ireland","LNG Shannon terminal, Ireland",Ireland,Ireland,8,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_groups:Farmers|Local residents,-8.280944824,51.541210613,-9.44343,52.57947
6631,6462,"Predator's 'Mag Mell'  LNG Floating Storage and Regasification Unit (FSRU), Cork, Ireland","NextDecade Liquid Natural Gas (LNG) Terminal, Cork, Ireland",Ireland,Ireland,8,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-8.280944824,51.541210613,-8.326987603,51.837827994
6631,6463,"Predator's 'Mag Mell'  LNG Floating Storage and Regasification Unit (FSRU), Cork, Ireland","Rügen LNG import terminal, Germany",Ireland,Germany,8,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-8.280944824,51.541210613,13.587524,54.483347
6631,4847,"Predator's 'Mag Mell'  LNG Floating Storage and Regasification Unit (FSRU), Cork, Ireland","Skulte LNG Terminal and Pipeline, Latvia",Ireland,Latvia,8,same_core_group:Europe; same_supply_role:Import / regasification; same_status:Planned; same_eu_link; shared_groups:Local residents,-8.280944824,51.541210613,24.395828247,57.316325944
7241,6465,"Protests in Huelva against the use of liquefied gas, Spain","Le Havre LNG Floating Storage and Regasification Unit, France",Spain,France,8,same_core_group:Europe; same_supply_role:Import / regasification; same_status:Operating; same_eu_link; shared_groups:Local residents,-6.95022583,37.251100652,0.188992,49.467955
7241,6631,"Protests in Huelva against the use of liquefied gas, Spain","Predator's 'Mag Mell'  LNG Floating Storage and Regasification Unit (FSRU), Cork, Ireland",Spain,Ireland,8,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-6.95022583,37.251100652,-8.280944824,51.541210613
4879,4856,"Sabetta port, Arctic Russia","Yamal Mega natural gas project, Arctic Russia",Russia,Russia,8,same_core_group:Russia; same_status:Operating; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents; shared_companies:Gazprom,72.11,71.25,68.492,70.375
7048,6749,"Washington Park and South Providence Residents Oppose Allens Avenue Waste Transfer Station, RI, USA","Cove Point LNG export terminal, USA",United States,United States,8,same_core_group:US East Coast (provisional); same_supply_role:Export / extraction; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-71.400876019,41.800615525,-76.410427259,38.388170036
7048,6721,"Washington Park and South Providence Residents Oppose Allens Avenue Waste Transfer Station, RI, USA","LNG terminal development at a contaminated DuPont Chemical Site, Greenwich Township, New Jersey",United States,United States,8,same_core_group:US East Coast (provisional); same_supply_role:Export / extraction; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-71.400876019,41.800615525,-75.292667,39.829111
4856,1755,"Yamal Mega natural gas project, Arctic Russia","Hassi R'Mel gas field, Algeria",Russia,Algeria,8,same_supply_role:Export / extraction; same_infrastructure:Extraction / gas field; same_status:Operating; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,68.492,70.375,3.271093,32.9395
7265,6465,"Bratislava LNG terminal cancellation, Slovakia","Le Havre LNG Floating Storage and Regasification Unit, France",Slovakia,France,7,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_groups:Local residents,17.107748,48.148598,0.188992,49.467955
7265,4847,"Bratislava LNG terminal cancellation, Slovakia","Skulte LNG Terminal and Pipeline, Latvia",Slovakia,Latvia,7,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_groups:Local residents,17.107748,48.148598,24.395828247,57.316325944
6284,4847,"Brunsbüttel LNG Terminal, Germany","Skulte LNG Terminal and Pipeline, Latvia",Germany,Latvia,7,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_groups:Local residents,9.188318543,53.894965175,24.395828247,57.316325944
7077,2585,"Floating Storage and Regasification Unit in the port of Piombino, Italy","LNG Shannon terminal, Ireland",Italy,Ireland,7,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_groups:Local residents,10.559038062,42.93942814,-9.44343,52.57947
7077,4847,"Floating Storage and Regasification Unit in the port of Piombino, Italy","Skulte LNG Terminal and Pipeline, Latvia",Italy,Latvia,7,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_groups:Local residents,10.559038062,42.93942814,24.395828247,57.316325944
2585,4847,"LNG Shannon terminal, Ireland","Skulte LNG Terminal and Pipeline, Latvia",Ireland,Latvia,7,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_groups:Local residents,-9.44343,52.57947,24.395828247,57.316325944
6465,2585,"Le Havre LNG Floating Storage and Regasification Unit, France","LNG Shannon terminal, Ireland",France,Ireland,7,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_groups:Local residents,0.188992,49.467955,-9.44343,52.57947
6465,6462,"Le Havre LNG Floating Storage and Regasification Unit, France","NextDecade Liquid Natural Gas (LNG) Terminal, Cork, Ireland",France,Ireland,7,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_groups:Local residents,0.188992,49.467955,-8.326987603,51.837827994
6465,4847,"Le Havre LNG Floating Storage and Regasification Unit, France","Skulte LNG Terminal and Pipeline, Latvia",France,Latvia,7,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_groups:Local residents,0.188992,49.467955,24.395828247,57.316325944
6785,4847,"Liquefied Natural Gas (LNG) Terminal in Sagunto, Spain","Skulte LNG Terminal and Pipeline, Latvia",Spain,Latvia,7,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_groups:Local residents,-0.2152,39.6329,24.395828247,57.316325944
5505,4879,"Liquefied natural gas project -LNG 2,  Gydan peninsula, Arctic Russia","Sabetta port, Arctic Russia",Russia,Russia,7,same_core_group:Russia; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents; shared_companies:Novatek,76.2,71.78,72.11,71.25
6212,3743,"Local Residents Protest Sea-3 Liquid Propane Gas Expansion, Providence, Rhode Island, USA","New Hampshire's Granite Bridge Gas Pipeline, United States",United States,United States,7,same_core_group:US East Coast (provisional); same_status:Planned; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-71.384557486,41.791048761,-71.0705,43.037
6462,4847,"NextDecade Liquid Natural Gas (LNG) Terminal, Cork, Ireland","Skulte LNG Terminal and Pipeline, Latvia",Ireland,Latvia,7,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_groups:Local residents,-8.326987603,51.837827994,24.395828247,57.316325944
7023,6721,"No LNG in PVD Opposes National Grid Liquefaction Project, RI, US","LNG terminal development at a contaminated DuPont Chemical Site, Greenwich Township, New Jersey",United States,United States,7,same_core_group:US East Coast (provisional); same_supply_role:Export / extraction; same_eu_link; shared_groups:Local residents,-71.393354675,41.797477536,-75.292667,39.829111
5825,1755,"Novatek's two gas fields in Yamalsky nature reserve, Yamal, Russia","Hassi R'Mel gas field, Algeria",Russia,Algeria,7,same_supply_role:Export / extraction; same_infrastructure:Extraction / gas field; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,70.78,68.01,3.271093,32.9395
6949,4847,"Occupation in 2023 of Fluxys' LNG terminal in Zeebrugge, Belgium","Skulte LNG Terminal and Pipeline, Latvia",Belgium,Latvia,7,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_groups:Local residents,3.21622,51.352316,24.395828247,57.316325944
6631,6284,"Predator's 'Mag Mell'  LNG Floating Storage and Regasification Unit (FSRU), Cork, Ireland","Brunsbüttel LNG Terminal, Germany",Ireland,Germany,7,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_groups:Local residents,-8.280944824,51.541210613,9.188318543,53.894965175
7241,4847,"Protests in Huelva against the use of liquefied gas, Spain","Skulte LNG Terminal and Pipeline, Latvia",Spain,Latvia,7,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_groups:Local residents,-6.95022583,37.251100652,24.395828247,57.316325944
6463,6465,"Rügen LNG import terminal, Germany","Le Havre LNG Floating Storage and Regasification Unit, France",Germany,France,7,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_groups:Local residents,13.587524,54.483347,0.188992,49.467955
6463,4968,"Rügen LNG import terminal, Germany","Protests against floating LNG terminal, Krk island, Croatia",Germany,Croatia,7,same_core_group:Europe; same_status:Under construction; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,13.587524,54.483347,14.605,45.016
6463,4847,"Rügen LNG import terminal, Germany","Skulte LNG Terminal and Pipeline, Latvia",Germany,Latvia,7,same_core_group:Europe; same_supply_role:Import / regasification; same_eu_link; shared_groups:Local residents,13.587524,54.483347,24.395828247,57.316325944
7265,4968,"Bratislava LNG terminal cancellation, Slovakia","Protests against floating LNG terminal, Krk island, Croatia",Slovakia,Croatia,6,same_core_group:Europe; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,17.107748,48.148598,14.605,45.016
6749,6212,"Cove Point LNG export terminal, USA","Local Residents Protest Sea-3 Liquid Propane Gas Expansion, Providence, Rhode Island, USA",United States,United States,6,same_core_group:US East Coast (provisional); same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-76.410427259,38.388170036,-71.384557486,41.791048761
6749,3743,"Cove Point LNG export terminal, USA","New Hampshire's Granite Bridge Gas Pipeline, United States",United States,United States,6,same_core_group:US East Coast (provisional); same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-76.410427259,38.388170036,-71.0705,43.037
7077,4968,"Floating Storage and Regasification Unit in the port of Piombino, Italy","Protests against floating LNG terminal, Krk island, Croatia",Italy,Croatia,6,same_core_group:Europe; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,10.559038062,42.93942814,14.605,45.016
6721,6212,"LNG terminal development at a contaminated DuPont Chemical Site, Greenwich Township, New Jersey","Local Residents Protest Sea-3 Liquid Propane Gas Expansion, Providence, Rhode Island, USA",United States,United States,6,same_core_group:US East Coast (provisional); same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-75.292667,39.829111,-71.384557486,41.791048761
6721,3743,"LNG terminal development at a contaminated DuPont Chemical Site, Greenwich Township, New Jersey","New Hampshire's Granite Bridge Gas Pipeline, United States",United States,United States,6,same_core_group:US East Coast (provisional); same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-75.292667,39.829111,-71.0705,43.037
6785,4968,"Liquefied Natural Gas (LNG) Terminal in Sagunto, Spain","Protests against floating LNG terminal, Krk island, Croatia",Spain,Croatia,6,same_core_group:Europe; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-0.2152,39.6329,14.605,45.016
6462,4968,"NextDecade Liquid Natural Gas (LNG) Terminal, Cork, Ireland","Protests against floating LNG terminal, Krk island, Croatia",Ireland,Croatia,6,same_core_group:Europe; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-8.326987603,51.837827994,14.605,45.016
7023,5505,"No LNG in PVD Opposes National Grid Liquefaction Project, RI, US","Liquefied natural gas project -LNG 2,  Gydan peninsula, Arctic Russia",United States,Russia,6,same_supply_role:Export / extraction; same_infrastructure:Liquefaction / export facility; shared_groups:Indigenous communities|Local residents,-71.393354675,41.797477536,76.2,71.78
7023,3743,"No LNG in PVD Opposes National Grid Liquefaction Project, RI, US","New Hampshire's Granite Bridge Gas Pipeline, United States",United States,United States,6,same_core_group:US East Coast (provisional); same_eu_link; shared_groups:Local residents|Women,-71.393354675,41.797477536,-71.0705,43.037
6949,4968,"Occupation in 2023 of Fluxys' LNG terminal in Zeebrugge, Belgium","Protests against floating LNG terminal, Krk island, Croatia",Belgium,Croatia,6,same_core_group:Europe; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,3.21622,51.352316,14.605,45.016
6631,4968,"Predator's 'Mag Mell'  LNG Floating Storage and Regasification Unit (FSRU), Cork, Ireland","Protests against floating LNG terminal, Krk island, Croatia",Ireland,Croatia,6,same_core_group:Europe; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-8.280944824,51.541210613,14.605,45.016
7241,4968,"Protests in Huelva against the use of liquefied gas, Spain","Protests against floating LNG terminal, Krk island, Croatia",Spain,Croatia,6,same_core_group:Europe; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-6.95022583,37.251100652,14.605,45.016
4879,6212,"Sabetta port, Arctic Russia","Local Residents Protest Sea-3 Liquid Propane Gas Expansion, Providence, Rhode Island, USA",Russia,United States,6,same_supply_role:Broader gas / LNG context; same_infrastructure:Port / logistics hub; shared_impacts:[object Object]; shared_groups:Local residents,72.11,71.25,-71.384557486,41.791048761
